iter	Passed	Remaining
0	0	769
1	1	687
2	1	658
3	2	699
4	3	668
5	3	650
6	4	637
7	5	629
8	5	627
9	6	620
10	6	619
11	7	621
12	8	624
13	8	625
14	9	626
15	10	627
16	10	628
17	11	616
18	11	616
19	12	616
20	13	617
21	13	617
22	14	618
23	15	619
24	15	619
25	16	622
26	17	618
27	17	614
28	18	610
29	18	607
30	19	606
31	20	605
32	20	605
33	21	605
34	21	606
35	22	605
36	23	605
37	23	605
38	24	604
39	25	604
40	25	605
41	26	605
42	27	605
43	27	605
44	28	604
45	29	605
46	29	605
47	30	605
48	31	606
49	31	604
50	32	602
51	32	601
52	33	599
53	34	598
54	34	597
55	35	596
56	36	595
57	36	595
58	37	594
59	37	594
60	38	594
61	39	594
62	39	593
63	40	593
64	41	593
65	41	593
66	42	593
67	43	592
68	43	592
69	44	592
70	45	593
71	45	591
72	46	589
73	46	587
74	47	586
75	48	584
76	48	583
77	49	582
78	49	582
79	50	581
80	51	580
81	51	579
82	52	579
83	53	578
84	53	576
85	54	576
86	54	576
87	55	575
88	56	575
89	56	575
90	57	574
91	58	574
92	58	573
93	59	572
94	59	571
95	60	569
96	61	568
97	61	567
98	62	565
99	62	565
100	63	565
101	64	564
102	64	564
103	65	563
104	66	562
105	66	562
106	67	561
107	68	561
108	68	561
109	69	561
110	70	561
111	70	561
112	71	561
113	72	560
114	72	559
115	73	559
116	74	562
117	75	562
118	75	561
119	76	560
120	76	559
121	77	557
122	78	557
123	78	556
124	79	555
125	79	554
126	80	553
127	81	552
128	81	551
129	82	550
130	82	549
131	83	549
132	84	548
133	84	547
134	85	546
135	85	546
136	86	545
137	87	544
138	87	543
139	89	547
140	89	547
141	90	547
142	91	547
143	92	547
144	92	547
145	93	547
146	94	547
147	95	547
148	95	546
149	96	546
150	96	545
151	97	544
152	98	544
153	99	544
154	99	544
155	100	542
156	100	541
157	101	541
158	102	540
159	102	540
160	103	539
161	103	537
162	104	536
163	104	534
164	105	533
165	105	531
166	106	530
167	106	529
168	107	528
169	107	527
170	108	526
171	109	525
172	109	524
173	110	523
174	110	521
175	111	520
176	111	518
177	112	517
178	112	516
179	113	515
180	113	514
181	114	514
182	115	513
183	115	512
184	115	510
185	116	509
186	117	508
187	117	507
188	117	506
189	118	504
190	118	503
191	119	501
192	119	500
193	120	499
194	120	498
195	121	497
196	121	496
197	122	495
198	122	494
199	123	493
200	123	492
201	124	492
202	125	491
203	125	490
204	126	490
205	126	489
206	127	488
207	128	488
208	128	487
209	129	487
210	130	486
211	130	485
212	131	484
213	131	484
214	132	484
215	133	483
216	133	482
217	134	482
218	135	481
219	135	480
220	136	479
221	136	479
222	137	478
223	138	478
224	138	477
225	139	477
226	139	476
227	140	475
228	140	474
229	141	473
230	142	473
231	142	472
232	143	471
233	143	470
234	144	469
235	144	469
236	145	469
237	146	468
238	146	467
239	147	465
240	147	464
241	148	463
242	148	463
243	149	462
244	149	461
245	150	460
246	150	459
247	151	458
248	151	458
249	152	457
250	152	456
251	153	456
252	154	455
253	154	454
254	155	453
255	155	452
256	156	452
257	156	451
258	157	450
